batch_id,temperature_c,pressure_bar,mixing_time_min,mixing_speed_rpm,humidity_pct,ph_level,particle_size_um,active_ingredient_pct,moisture_content_pct,granulation_time_min,drying_temp_c,coating_thickness_um,tablet_hardness_n,dissolution_rate_pct,operator_experience_yr,shift,equipment_age_yr,raw_material_grade,batch_failed
BATCH-01000,68.97,2.162,36.4,92,44.7,6.39,247.0,97.664,3.203,32.6,57.4,116.1,69.9,83.87,4.3,1,3.1,0,0
BATCH-01001,63.89,2.428,44.7,104,40.0,6.62,124.8,97.684,2.531,23.7,57.0,146.8,69.3,75.54,5.9,0,4.6,0,0
BATCH-01002,70.18,2.104,45.2,96,43.3,6.44,186.9,101.353,1.77,35.5,48.4,178.8,101.4,84.04,1.2,1,0.5,0,1
BATCH-01003,77.18,2.346,49.7,106,52.1,6.87,198.3,99.214,2.13,25.3,59.1,151.7,108.0,86.18,6.4,1,10.6,1,0
BATCH-01004,63.13,1.553,31.3,115,57.8,7.52,200.6,101.721,2.774,36.0,44.6,173.5,66.1,89.15,4.4,2,2.9,0,0
BATCH-01005,63.13,2.607,50.9,141,50.7,6.34,207.2,97.255,3.955,27.8,50.4,135.2,70.0,85.62,4.7,2,4.1,1,0
BATCH-01006,77.63,2.501,18.0,112,46.0,7.4,224.4,97.873,2.113,16.2,41.0,129.8,97.1,77.95,1.8,1,0.8,1,1
BATCH-01007,71.14,2.091,38.7,80,60.0,6.33,198.6,96.002,3.144,22.1,65.9,171.2,88.0,100.0,0.8,2,1.2,1,1
BATCH-01008,61.24,2.83,40.1,149,41.9,6.29,185.3,96.786,2.238,26.6,53.4,159.2,90.1,91.63,4.9,0,0.5,0,0
BATCH-01009,69.34,2.969,51.3,99,55.3,7.29,183.7,100.853,2.588,40.9,70.2,120.4,93.4,89.42,4.4,0,1.2,0,0
BATCH-01010,61.29,1.696,45.2,119,42.1,7.35,175.5,97.217,3.712,37.2,60.6,130.0,76.4,93.04,2.1,2,2.7,1,0
BATCH-01011,61.27,2.119,30.9,131,49.3,7.31,231.5,100.879,3.111,43.0,58.1,189.1,84.9,86.96,1.8,2,7.2,1,0
BATCH-01012,66.94,2.115,35.2,125,43.9,6.01,174.1,96.135,1.507,43.2,50.9,126.9,83.8,95.29,2.1,1,3.1,1,0
BATCH-01013,49.69,2.03,47.0,147,44.4,6.52,233.9,96.42,2.042,25.7,47.7,173.4,67.1,85.45,3.4,0,1.1,0,0
BATCH-01014,51.2,2.915,44.2,132,41.2,7.29,200.8,97.488,3.505,28.5,58.7,138.0,84.7,85.01,18.4,2,0.5,1,1
BATCH-01015,60.5,2.403,39.2,98,58.4,6.82,179.1,97.904,2.614,26.7,54.5,149.9,98.6,90.08,7.2,0,3.9,0,0
BATCH-01016,56.9,2.368,40.2,174,37.7,6.16,224.7,99.385,1.581,24.6,45.6,157.4,75.0,97.61,9.5,0,2.2,0,0
BATCH-01017,67.51,1.498,52.0,125,37.6,7.07,170.9,98.676,1.845,15.3,44.4,97.5,82.3,97.1,3.5,1,15.0,1,0
BATCH-01018,57.74,2.818,39.8,116,66.2,6.37,225.5,97.376,3.063,29.9,48.3,113.4,83.1,89.74,3.7,0,6.1,0,1
